city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Solapur,2,"Solapur, Maharashtra",,8,3500000,3684
Solapur,3,"Solapur, Maharashtra",,,7000000,6173
Solapur,2,"Solapur, Maharashtra",,5,3500000,6863
Solapur,2,"Solapur, Maharashtra",,6,4800000,4571
Solapur,2,"Solapur, Maharashtra",,,3200000,3316
Solapur,2,"Solapur, Maharashtra",,,4000000,3390
Solapur,2,"Solapur, Maharashtra",,5,6500000,6500
Solapur,,"Solapur, Maharashtra",,2,7500000,5338
Solapur,2,"Solapur, Maharashtra",600,7,350000,3500
Solapur,2,"Solapur, Maharashtra",850,4,4500000,4737
Solapur,1,"Solapur, Maharashtra",,2,6500000,3250
Solapur,3,"Solapur, Maharashtra",1200,,4500000,
Solapur,1,"Solapur, Maharashtra",800,3,3400000,
Solapur,2,"Solapur, Maharashtra",,13,2500000,4980
Solapur,1,"Solapur, Maharashtra",,,6500000,3250
Solapur,2,"Solapur, Maharashtra",,4,5500000,5000
Solapur,2,"Solapur, Maharashtra",1420,5,5000000,3521
Solapur,2,"Solapur, Maharashtra",1050,7,5200000,4333
Solapur,2,"Solapur, Maharashtra",,5,4600000,5221
Solapur,1,"Solapur, Maharashtra",,3,3251000,3917
Solapur,1,"Solapur, Maharashtra",1100,,7100000,6455
Solapur,2,"Solapur, Maharashtra",,5,3500000,4930
Solapur,2,"Solapur, Maharashtra",,6,3600000,4000
Solapur,2,"Solapur, Maharashtra",1700,,11000000,6471
Solapur,1,"Solapur, Maharashtra",,3,5500000,3667
Solapur,2,"Solapur, Maharashtra",900,3,4200000,4000
Solapur,2,"Solapur, Maharashtra",,1,7500000,4167
Solapur,2,"Solapur, Maharashtra",,7,6500000,5697
Solapur,2,"Solapur, Maharashtra",,7,3500000,3684
Solapur,2,"Solapur, Maharashtra",1600,,3900000,1857
Solapur,2,"Solapur, Maharashtra",1000,,7000000,4667
Solapur,1,"Solapur, Maharashtra",1200,2,3500000,2917
Solapur,2,"Solapur, Maharashtra",600,7,3500000,5385
Solapur,1,"Solapur, Maharashtra",1250,3,5500000,4231
Solapur,2,"Solapur, Maharashtra",,7,4200000,4200
Solapur,2,"Solapur, Maharashtra",,6,6300000,6300
Solapur,1,"Solapur, Maharashtra",1400,,4300000,2688
Solapur,2,"Solapur, Maharashtra",750,6,4000000,4000
Solapur,3,"Solapur, Maharashtra",1548,,13000000,6500
Solapur,2,"Solapur, Maharashtra",,,4300000,10750
Solapur,3,"Solapur, Maharashtra",,4,3200000,3200
Solapur,,"Solapur, Maharashtra",,,5500000,3929
Solapur,2,"Solapur, Maharashtra",1300,,8000000,
Solapur,2,"Solapur, Maharashtra",,,8000000,6762
Solapur,2,"Solapur, Maharashtra",850,6,6700000,5583
Solapur,1,"Solapur, Maharashtra",,12,2800000,3515
Solapur,3,"Solapur, Maharashtra",,5,8000000,4444
Solapur,3,"Solapur, Maharashtra",,,9000000,7500
Solapur,2,"Solapur, Maharashtra",77,7,5700000,4996
Solapur,2,"Solapur, Maharashtra",725,6,6600000,
Solapur,2,"Solapur, Maharashtra",,5,3700000,3364
Solapur,2,"Solapur, Maharashtra",,7,4500000,4286
Solapur,3,"Solapur, Maharashtra",1500,,6500000,3250
Solapur,1,"Solapur, Maharashtra",,1,3000000,3750
Solapur,3,"Solapur, Maharashtra",,,4500000,3750
Solapur,2,"Solapur, Maharashtra",1000,,4000000,3200
Solapur,2,"Solapur, Maharashtra",,1,3000000,2000
Solapur,3,"Solapur, Maharashtra",,,3000000,3289
Solapur,2,"Solapur, Maharashtra",,1,4200000,2740
Solapur,2,"Solapur, Maharashtra",900,6,5800000,5524
Solapur,2,"Solapur, Maharashtra",,6,6300000,6300
Solapur,2,"Solapur, Maharashtra",,7,6500000,7386
Solapur,2,"Solapur, Maharashtra",,6,4500000,5625
Solapur,2,"Solapur, Maharashtra",765,7,3800000,3862
