id,posted_date,price,price_per_sq_ft,currency,location,company_name,carpet_area,land_area_unit,balconies,bathrooms,facing,floors,city_name,bedrooms,address,covered_area,carp_area_unit,cov_area_unit,operating_since
83028211,2026-03-18T23:33:59.000Z,5500000,4314,₹,"8.583737,76.90558",,1275,,2,3,,,Trivandrum,3,"Trivandrum, Kerala",1275,,12800,
81685857,2026-03-21T23:36:42.000Z,550000,210,₹,"8.6215019,76.8877529",,,12800,,,West,,Trivandrum,,"Trivandrum, Kerala",,,,
83556625,2026-03-16T23:47:49.000Z,17500000,5224,₹,"8.561559,76.9427006",,,12850,,5,East,,Trivandrum,3,"Trivandrum, Kerala",3350,,12800,
83826773,2026-03-17T13:32:17.000Z,2000000,1148,₹,"8.5113336,76.9268541",,,12800,,,North,,Trivandrum,,"Trivandrum, Kerala",,,,
83725923,2026-03-13T15:32:02.000Z,22500000,7258,₹,"8.4564686,76.9924002",,3300,,1,4,East,,Trivandrum,4,"Trivandrum, Kerala",3100,,12800,
76405681,2026-03-19T23:32:56.000Z,7500000,4213,₹,"8.53874931546226,76.9888830828931",,1780,,1,3,North - West,,Trivandrum,3,"Trivandrum, Kerala",1780,,12800,
81760461,2026-02-12T21:30:42.000Z,10700000,,₹,"8.527883,76.88636",,1420,,2,3,South -West,11,Trivandrum,3,"Trivandrum, Kerala",,,,
82798581,2026-03-22T23:31:11.000Z,5500000,2727,₹,"8.6215019,76.8877529",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",2017,,12800,
81104997,2026-01-12T21:33:48.000Z,3500000,2368,₹,"8.5388596,77.0090996",,1282,,2,3,East,,Trivandrum,3,"Trivandrum, Kerala",1478,,12800,
82528237,2026-03-23T23:34:15.000Z,1800000,590,₹,"8.529714,76.9384144",,,12800,,,,,Trivandrum,,"Trivandrum, Kerala",,,,
82233477,2026-03-23T03:40:14.000Z,9200000,7770,₹,"8.491859,76.93797",,793,,2,2,East,9,Trivandrum,2,"Trivandrum, Kerala",1184,,12800,
83021191,2026-03-16T23:33:10.000Z,7500000,3571,₹,"8.6215019,76.8877529",,2100,12800,1,4,West,,Trivandrum,4,"Trivandrum, Kerala",2100,,12800,
78598077,2026-03-23T23:39:36.000Z,8000000,4000,₹,"8.539630328715196,76.88585971543391",,1643,,3,3,South - East,15,Trivandrum,3,"Trivandrum, Kerala",2000,,12800,
82327267,2026-03-15T17:48:48.000Z,5900000,4214,₹,"8.504133,76.9916675",,,,,3,,,Trivandrum,3,"Trivandrum, Kerala",1400,,12800,
48889595,2026-03-23T23:38:06.000Z,18000000,6923,₹,"8.5149519,76.9469617",,2344,,2,5,West,10,Trivandrum,4,"Trivandrum, Kerala",2600,,12800,
77030697,2026-03-14T23:34:19.000Z,11500000,7667,₹,"8.5149519,76.9469617",,,,3,3,,14,Trivandrum,3,"Trivandrum, Kerala",1500,,12800,
82878017,2026-03-13T23:32:12.000Z,9600000,,₹,"8.59182429786514,76.8835347057013",,2000,,2,3,East,,Trivandrum,3,"Trivandrum, Kerala",,,,
82284097,2026-03-21T23:35:46.000Z,9500000,4750,₹,"8.4874949,76.948623",,,,,4,East,2,Trivandrum,3,"Trivandrum, Kerala",2000,,12800,
82851599,2026-03-24T06:13:53.000Z,7500000,4054,₹,"8.5388596,77.0090996",,,12850,1,4,East,,Trivandrum,4,"Trivandrum, Kerala",1850,,12800,
83106215,2026-03-23T23:51:26.000Z,12000000,1837,₹,"8.737947,76.713878",,,,1,3,North,,Trivandrum,3,"Trivandrum, Kerala",6534,,12800,
81299611,2026-03-21T23:53:51.000Z,2999999,1148,₹,"8.584959,76.85445",,,12800,,,East,,Trivandrum,,"Trivandrum, Kerala",,,,
83280473,2026-03-25T23:31:12.000Z,11500000,6021,₹,"8.5667627,76.8895341",,,,,4,,,Trivandrum,4,"Trivandrum, Kerala",1910,,12800,
