city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Agra,2,"Agra, Uttar Pradesh",,,4264000,3400
Agra,2,"Agra, Uttar Pradesh",,10,3000000,3593
Agra,3,"Agra, Uttar Pradesh",,,16000000,12346
Agra,3,"Agra, Uttar Pradesh",1245,3,12000000,8922
Agra,2,"Agra, Uttar Pradesh",750,50,2500000,2941
Agra,3,"Agra, Uttar Pradesh",,9,8500000,5152
Agra,2,"Agra, Uttar Pradesh",1685,2,7200000,4000
Agra,1,"Agra, Uttar Pradesh",172,,26000000,
Agra,3,"Agra, Uttar Pradesh",,11,9000000,4918
Agra,2,"Agra, Uttar Pradesh",1700,3,17000000,8500
Agra,3,"Agra, Uttar Pradesh",800,,2700000,3176
Agra,3,"Agra, Uttar Pradesh",1500,7,12000000,8000
Agra,3,"Agra, Uttar Pradesh",1500,3,6500000,3714
Agra,2,"Agra, Uttar Pradesh",1100,1,4200000,3509
Agra,2,"Agra, Uttar Pradesh",1045,3,4500000,3480
Agra,3,"Agra, Uttar Pradesh",2100,,11700000,8966
Agra,2,"Agra, Uttar Pradesh",1600,4,5000000,3268
Agra,2,"Agra, Uttar Pradesh",,14,5500000,6111
Agra,3,"Agra, Uttar Pradesh",2047,2,6877920,3360
Agra,3,"Agra, Uttar Pradesh",1035,8,12500000,11405
Agra,2,"Agra, Uttar Pradesh",750,14,4800000,5333
Agra,3,"Agra, Uttar Pradesh",1200,2,10500000,10500
Agra,2,"Agra, Uttar Pradesh",895,2,6000000,6704
Agra,3,"Agra, Uttar Pradesh",,12,9500000,5307
Agra,2,"Agra, Uttar Pradesh",,3,2500000,2273
Agra,2,"Agra, Uttar Pradesh",900,,4500000,3913
Agra,3,"Agra, Uttar Pradesh",1250,14,9200000,5493
Agra,2,"Agra, Uttar Pradesh",1250,3,5400000,4320
Agra,3,"Agra, Uttar Pradesh",1800,6,14500000,8056
Agra,4,"Agra, Uttar Pradesh",378,,35000000,
Agra,3,"Agra, Uttar Pradesh",,9,20000000,9217
Agra,2,"Agra, Uttar Pradesh",,,14000000,9485
Agra,2,"Agra, Uttar Pradesh",,1,4100000,2649
Agra,2,"Agra, Uttar Pradesh",,,6300000,5250
Agra,3,"Agra, Uttar Pradesh",,,5500000,3274
Agra,3,"Agra, Uttar Pradesh",,,6099000,7447
Agra,2,"Agra, Uttar Pradesh",300,,28500000,10556
Agra,2,"Agra, Uttar Pradesh",,,3200000,4741
Agra,2,"Agra, Uttar Pradesh",,,3700000,3895
Agra,2,"Agra, Uttar Pradesh",93,3,4700000,4695
Agra,2,"Agra, Uttar Pradesh",1350,1,9000000,6667
Agra,2,"Agra, Uttar Pradesh",,,11700000,39000
Agra,3,"Agra, Uttar Pradesh",902,,4500000,
Agra,3,"Agra, Uttar Pradesh",,,9500000,5135
Agra,2,"Agra, Uttar Pradesh",1180,5,5000000,4237
Agra,2,"Agra, Uttar Pradesh",,3,3300000,5238
Agra,2,"Agra, Uttar Pradesh",1000,4,3000000,2500
Agra,3,"Agra, Uttar Pradesh",,3,8500000,4722
Agra,3,"Agra, Uttar Pradesh",1000,6,4400000,3520
Agra,1,"Agra, Uttar Pradesh",900,3,9500000,10000
Agra,2,"Agra, Uttar Pradesh",866,4,3000000,3464
Agra,2,"Agra, Uttar Pradesh",,13,4700000,3072
Agra,2,"Agra, Uttar Pradesh",1280,2,4500000,3000
Agra,1,"Agra, Uttar Pradesh",90,1,3100000,3827
Agra,1,"Agra, Uttar Pradesh",,,4000000,8989
Agra,1,"Agra, Uttar Pradesh",650,2,7000000,11111
Agra,3,"Agra, Uttar Pradesh",,2,3700000,4066
Agra,1,"Agra, Uttar Pradesh",926,11,2000000,
Agra,2,"Agra, Uttar Pradesh",,3,4500000,4737
Agra,2,"Agra, Uttar Pradesh",800,,4000000,4444
Agra,2,"Agra, Uttar Pradesh",700,,2200000,2750
Agra,3,"Agra, Uttar Pradesh",986,,7500000,7606
Agra,4,"Agra, Uttar Pradesh",,,12500000,12500
Agra,2,"Agra, Uttar Pradesh",,,6000000,4000
Agra,2,"Agra, Uttar Pradesh",,5,5000000,3846
Agra,2,"Agra, Uttar Pradesh",900,,3200000,3556
Agra,2,"Agra, Uttar Pradesh",,3,2800000,3515
Agra,3,"Agra, Uttar Pradesh",,1,12000000,6734
Agra,2,"Agra, Uttar Pradesh",900,2,2600000,2600
Agra,2,"Agra, Uttar Pradesh",100,,3800000,
Agra,2,"Agra, Uttar Pradesh",1708,4,5100000,2898
Agra,3,"Agra, Uttar Pradesh",1550,2,6000000,
Agra,2,"Agra, Uttar Pradesh",,,23500000,13056
Agra,2,"Agra, Uttar Pradesh",1134,,8500000,
Agra,2,"Agra, Uttar Pradesh",,,9000000,6250
Agra,1,"Agra, Uttar Pradesh",,,3000000,4645
Agra,2,"Agra, Uttar Pradesh",,,3000000,2857
Agra,3,"Agra, Uttar Pradesh",300,,50000000,18519
Agra,3,"Agra, Uttar Pradesh",,,10050000,6018
Agra,3,"Agra, Uttar Pradesh",,,5200000,3152
Agra,2,"Agra, Uttar Pradesh",,,5500000,4889
Agra,2,"Agra, Uttar Pradesh",,,4500000,3947
Agra,2,"Agra, Uttar Pradesh",1075,6,3200000,
Agra,2,"Agra, Uttar Pradesh",,,7000000,6364
Agra,2,"Agra, Uttar Pradesh",,3,2000000,2500
Agra,3,"Agra, Uttar Pradesh",,,7000000,5000
Agra,2,"Agra, Uttar Pradesh",,12,5000000,3271
Agra,2,"Agra, Uttar Pradesh",1145,3,4700000,
Agra,2,"Agra, Uttar Pradesh",820,,3699999,3915
Agra,2,"Agra, Uttar Pradesh",585,,5000000,7143
Agra,2,"Agra, Uttar Pradesh",,,5400000,5227
Agra,2,"Agra, Uttar Pradesh",950,,3000000,2703
Agra,3,"Agra, Uttar Pradesh",112,,3990000,3958
Agra,1,"Agra, Uttar Pradesh",1065,2,4500000,
Agra,1,"Agra, Uttar Pradesh",,,4500000,4500
Agra,2,"Agra, Uttar Pradesh",,,5500000,4889
Agra,1,"Agra, Uttar Pradesh",,1,1800000,2647
Agra,2,"Agra, Uttar Pradesh",,,7000000,47297
Agra,2,"Agra, Uttar Pradesh",1100,4,3800000,3455
Agra,2,"Agra, Uttar Pradesh",,2,8500000,4328
Agra,2,"Agra, Uttar Pradesh",1200,2,9500000,6090
Agra,2,"Agra, Uttar Pradesh",,,4200000,3547
Agra,2,"Agra, Uttar Pradesh",1080,3,4300000,3805
Agra,2,"Agra, Uttar Pradesh",,7,10000000,8333
Agra,3,"Agra, Uttar Pradesh",,4,4400000,2821
Agra,2,"Agra, Uttar Pradesh",300,,1500000,5000
Agra,3,"Agra, Uttar Pradesh",,3,15000000,9615
Agra,3,"Agra, Uttar Pradesh",,3,15000000,9615
Agra,3,"Agra, Uttar Pradesh",,3,14000000,8046
Agra,3,"Agra, Uttar Pradesh",,3,15000000,9091
Agra,3,"Agra, Uttar Pradesh",,,13000000,7222
Agra,2,"Agra, Uttar Pradesh",,5,3300000,3226
Agra,2,"Agra, Uttar Pradesh",,2,7000000,7856
Agra,2,"Agra, Uttar Pradesh",290,,50000000,
Agra,3,"Agra, Uttar Pradesh",,,15000000,8824
Agra,2,"Agra, Uttar Pradesh",988,5,6200000,6275
Agra,2,"Agra, Uttar Pradesh",,5,2200000,3143
Agra,3,"Agra, Uttar Pradesh",994,,3500000,3521
Agra,2,"Agra, Uttar Pradesh",,2,7000000,7856
Agra,3,"Agra, Uttar Pradesh",,,13000000,7222
Agra,1,"Agra, Uttar Pradesh",29,,550000,
Agra,2,"Agra, Uttar Pradesh",,4,6000000,4000
Agra,2,"Agra, Uttar Pradesh",,,4200000,3547
Agra,3,"Agra, Uttar Pradesh",1750,8,18000000,7930
Agra,2,"Agra, Uttar Pradesh",,,4500000,5625
Agra,1,"Agra, Uttar Pradesh",,3,2500000,3333
Agra,2,"Agra, Uttar Pradesh",,,11700000,39000
Agra,2,"Agra, Uttar Pradesh",,,14000000,9485
Agra,3,"Agra, Uttar Pradesh",,3,15000000,9091
Agra,1,"Agra, Uttar Pradesh",,10,1800000,2647
Agra,3,"Agra, Uttar Pradesh",,3,15000000,9615
Agra,3,"Agra, Uttar Pradesh",,3,15000000,9615
Agra,3,"Agra, Uttar Pradesh",,3,14000000,8046
Agra,1,"Agra, Uttar Pradesh",900,,2500000,
Agra,2,"Agra, Uttar Pradesh",1000,11,5000000,4444
Agra,2,"Agra, Uttar Pradesh",1400,,7500000,5357
Agra,2,"Agra, Uttar Pradesh",,1,6000000,3584
Agra,4,"Agra, Uttar Pradesh",,3,27000000,16667
Agra,3,"Agra, Uttar Pradesh",,2,7000000,3757
Agra,3,"Agra, Uttar Pradesh",,,6500000,5603
Agra,3,"Agra, Uttar Pradesh",1850,8,6500000,3023
Agra,2,"Agra, Uttar Pradesh",,,5000000,3584
Agra,1,"Agra, Uttar Pradesh",,2,3000000,4762
Agra,2,"Agra, Uttar Pradesh",,,6500000,5556
Agra,2,"Agra, Uttar Pradesh",,,5500000,6111
Agra,2,"Agra, Uttar Pradesh",,,10200000,7692
Agra,2,"Agra, Uttar Pradesh",780,14,3500000,3684
Agra,1,"Agra, Uttar Pradesh",95,,3500000,33333
Agra,2,"Agra, Uttar Pradesh",,,5200000,4444
Agra,3,"Agra, Uttar Pradesh",1500,16,7000000,4154
Agra,2,"Agra, Uttar Pradesh",1300,3,4500000,
Agra,1,"Agra, Uttar Pradesh",,10,2200000,3099
Agra,2,"Agra, Uttar Pradesh",,,5131000,4561
Agra,3,"Agra, Uttar Pradesh",195,,7000000,
Agra,2,"Agra, Uttar Pradesh",75,2,4500000,37500
Agra,2,"Agra, Uttar Pradesh",,,4399000,3928
Agra,1,"Agra, Uttar Pradesh",120,1,4700000,2808
Agra,2,"Agra, Uttar Pradesh",,14,7500000,4478
Agra,2,"Agra, Uttar Pradesh",,3,1700000,1417
Agra,2,"Agra, Uttar Pradesh",1296,,13500000,8333
Agra,3,"Agra, Uttar Pradesh",,,6000000,3871
Agra,3,"Agra, Uttar Pradesh",,,6900000,7302
Agra,3,"Agra, Uttar Pradesh",,15,7000000,4179
Agra,3,"Agra, Uttar Pradesh",1643,9,6500000,3956
Agra,3,"Agra, Uttar Pradesh",,3,4000000,2222
Agra,2,"Agra, Uttar Pradesh",,,7200000,10788
Agra,1,"Agra, Uttar Pradesh",,1,5000000,2364
Agra,2,"Agra, Uttar Pradesh",,,3200000,3556
Agra,2,"Agra, Uttar Pradesh",1125,,4800000,3840
Agra,1,"Agra, Uttar Pradesh",20,,1000000,50000
Agra,2,"Agra, Uttar Pradesh",,,3500000,2800
Agra,2,"Agra, Uttar Pradesh",900,2,250000,263
Agra,2,"Agra, Uttar Pradesh",81,,2100000,6752
Agra,3,"Agra, Uttar Pradesh",,8,6500000,3514
Agra,2,"Agra, Uttar Pradesh",,14,5700000,6333
Agra,3,"Agra, Uttar Pradesh",,14,7000000,4179
Agra,2,"Agra, Uttar Pradesh",,4,3000000,4286
Agra,2,"Agra, Uttar Pradesh",,,2800000,3111
Agra,2,"Agra, Uttar Pradesh",,,3000000,3333
Agra,2,"Agra, Uttar Pradesh",,3,3000000,4000
Agra,2,"Agra, Uttar Pradesh",,,3220030,3220
Agra,3,"Agra, Uttar Pradesh",,6,8000000,4444
Agra,2,"Agra, Uttar Pradesh",,1,5200000,4549
Agra,2,"Agra, Uttar Pradesh",1267,9,7400000,5841
Agra,2,"Agra, Uttar Pradesh",1400,3,3499999,2244
Agra,2,"Agra, Uttar Pradesh",,2,4200000,4000
Agra,2,"Agra, Uttar Pradesh",,2,1700000,2833
Agra,2,"Agra, Uttar Pradesh",900,2,3000000,3000
Agra,3,"Agra, Uttar Pradesh",1600,3,5800000,3222
Agra,2,"Agra, Uttar Pradesh",1255,10,6000000,4781
Agra,3,"Agra, Uttar Pradesh",,6,6500000,4052
Agra,3,"Agra, Uttar Pradesh",,,7800000,7104
Agra,3,"Agra, Uttar Pradesh",,2,5500000,2895
Agra,2,"Agra, Uttar Pradesh",100,,3500000,
Agra,2,"Agra, Uttar Pradesh",,11,4600000,3680
Agra,3,"Agra, Uttar Pradesh",,,7800000,7104
Agra,3,"Agra, Uttar Pradesh",,,7800000,7104
Agra,2,"Agra, Uttar Pradesh",850,2,2350000,2611
Agra,2,"Agra, Uttar Pradesh",,11,5000000,4000
Agra,,"Agra, Uttar Pradesh",,,2100000,2141
Agra,3,"Agra, Uttar Pradesh",121,6,10000000,
Agra,2,"Agra, Uttar Pradesh",,9,7500000,5263
Agra,4,"Agra, Uttar Pradesh",1000,,5000000,3030
Agra,2,"Agra, Uttar Pradesh",,,6000000,5000
Agra,2,"Agra, Uttar Pradesh",,6,4500000,4500
Agra,2,"Agra, Uttar Pradesh",,3,3000000,3750
Agra,2,"Agra, Uttar Pradesh",1000,3,3400000,2764
Agra,2,"Agra, Uttar Pradesh",1100,3,5000000,
Agra,2,"Agra, Uttar Pradesh",,,3700000,3915
Agra,3,"Agra, Uttar Pradesh",900,,4600000,5111
Agra,2,"Agra, Uttar Pradesh",770,9,12500000,14970
Agra,3,"Agra, Uttar Pradesh",125,,9000000,8000
Agra,2,"Agra, Uttar Pradesh",,,4350000,8056
Agra,2,"Agra, Uttar Pradesh",595,,5500000,3235
Agra,2,"Agra, Uttar Pradesh",,4,1500000,1875
Agra,2,"Agra, Uttar Pradesh",1000,,4200000,3818
Agra,2,"Agra, Uttar Pradesh",1100,3,4000000,4444
Agra,3,"Agra, Uttar Pradesh",1000,,4400000,3259
Agra,2,"Agra, Uttar Pradesh",,,4000000,4444
Agra,3,"Agra, Uttar Pradesh",,2,4200000,2471
Agra,1,"Agra, Uttar Pradesh",,,4800000,7111
Agra,3,"Agra, Uttar Pradesh",,6,6500000,3939
Agra,2,"Agra, Uttar Pradesh",590,9,2400000,2874
Agra,2,"Agra, Uttar Pradesh",,1,82620000,19046
Agra,2,"Agra, Uttar Pradesh",,,9500000,8444
Agra,2,"Agra, Uttar Pradesh",,4,5000000,3922
Agra,2,"Agra, Uttar Pradesh",525,8,3500000,5147
Agra,1,"Agra, Uttar Pradesh",,1,2300000,3680
Agra,2,"Agra, Uttar Pradesh",,,11500000,7697
Agra,2,"Agra, Uttar Pradesh",880,,7500000,8523
Agra,2,"Agra, Uttar Pradesh",,1,4500000,5000
Agra,2,"Agra, Uttar Pradesh",,3,3600000,2880
