city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Jamnagar,2,"Jamnagar, Gujarat",,5,4200000,4200
Jamnagar,3,"Jamnagar, Gujarat",1550,4,12500000,8065
Jamnagar,2,"Jamnagar, Gujarat",,3,2000000,3333
Jamnagar,3,"Jamnagar, Gujarat",960,5,4600000,3407
Jamnagar,2,"Jamnagar, Gujarat",,5,2100000,1826
Jamnagar,3,"Jamnagar, Gujarat",700,,5200000,6265
Jamnagar,3,"Jamnagar, Gujarat",1950,4,15000000,5000
Jamnagar,3,"Jamnagar, Gujarat",2200,2,8000000,5814
Jamnagar,3,"Jamnagar, Gujarat",500,,2390000,3187
Jamnagar,,"Jamnagar, Gujarat",,,18000000,9091
Jamnagar,4,"Jamnagar, Gujarat",715,,7700000,5133
Jamnagar,4,"Jamnagar, Gujarat",,,3000000,4082
Jamnagar,3,"Jamnagar, Gujarat",,,1900000,2533
Jamnagar,3,"Jamnagar, Gujarat",,,6400000,8000
Jamnagar,2,"Jamnagar, Gujarat",892,5,3150000,3000
Jamnagar,2,"Jamnagar, Gujarat",,2,6500000,9985
Jamnagar,3,"Jamnagar, Gujarat",1200,11,6800000,3579
Jamnagar,2,"Jamnagar, Gujarat",600,,2200000,5000
Jamnagar,1,"Jamnagar, Gujarat",,,5000000,7692
Jamnagar,4,"Jamnagar, Gujarat",735,,2500000,1786
Jamnagar,3,"Jamnagar, Gujarat",,,5150000,3962
Jamnagar,2,"Jamnagar, Gujarat",750,5,4500000,3358
Jamnagar,2,"Jamnagar, Gujarat",695,5,3000000,2913
Jamnagar,,"Jamnagar, Gujarat",,,3500000,3365
Jamnagar,3,"Jamnagar, Gujarat",1143,7,6700000,3479
Jamnagar,3,"Jamnagar, Gujarat",1260,5,4800000,2667
Jamnagar,2,"Jamnagar, Gujarat",637,4,2500000,
Jamnagar,3,"Jamnagar, Gujarat",,,8000000,9524
Jamnagar,2,"Jamnagar, Gujarat",,6,2400000,2208
Jamnagar,3,"Jamnagar, Gujarat",1400,3,6000000,4161
Jamnagar,3,"Jamnagar, Gujarat",710,,7000000,
Jamnagar,3,"Jamnagar, Gujarat",1200,2,3500000,3500
Jamnagar,2,"Jamnagar, Gujarat",850,3,2300000,
Jamnagar,3,"Jamnagar, Gujarat",1240,11,7500000,4167
Jamnagar,2,"Jamnagar, Gujarat",1450,1,16000000,11034
Jamnagar,2,"Jamnagar, Gujarat",850,5,2451000,2291
Jamnagar,3,"Jamnagar, Gujarat",,2,5500000,3438
Jamnagar,3,"Jamnagar, Gujarat",1873,,10000000,4167
Jamnagar,2,"Jamnagar, Gujarat",900,5,3100000,3100
Jamnagar,2,"Jamnagar, Gujarat",1900,1,7000000,3500
Jamnagar,3,"Jamnagar, Gujarat",700,2,3000000,2143
Jamnagar,3,"Jamnagar, Gujarat",,5,2550000,2607
Jamnagar,2,"Jamnagar, Gujarat",,5,2875000,3788
Jamnagar,2,"Jamnagar, Gujarat",,5,3600000,3103
Jamnagar,3,"Jamnagar, Gujarat",3000,,8000000,2105
Jamnagar,1,"Jamnagar, Gujarat",,,9900000,919710
Jamnagar,2,"Jamnagar, Gujarat",,6,3000000,3636
Jamnagar,2,"Jamnagar, Gujarat",,3,2600000,3133
Jamnagar,2,"Jamnagar, Gujarat",,3,2700000,3140
Jamnagar,4,"Jamnagar, Gujarat",,,5500000,6634
Jamnagar,2,"Jamnagar, Gujarat",1460,10,4500000,3082
Jamnagar,3,"Jamnagar, Gujarat",1300,10,7000000,3518
Jamnagar,3,"Jamnagar, Gujarat",900,11,5500000,2865
Jamnagar,2,"Jamnagar, Gujarat",,5,2900000,2337
Jamnagar,3,"Jamnagar, Gujarat",1300,5,8500000,5000
Jamnagar,3,"Jamnagar, Gujarat",,,2100000,1909
Jamnagar,2,"Jamnagar, Gujarat",,4,2700000,3000
Jamnagar,2,"Jamnagar, Gujarat",880,5,3100000,
Jamnagar,2,"Jamnagar, Gujarat",700,5,3900000,3900
Jamnagar,2,"Jamnagar, Gujarat",,2,7000000,9524
