city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Kannur,2,"Kannur, Kerala",1200,3,3600000,2717
Kannur,3,"Kannur, Kerala",1150,,6000000,3750
Kannur,3,"Kannur, Kerala",1350,16,11070540,7470
Kannur,4,"Kannur, Kerala",,14,8000000,4848
Kannur,2,"Kannur, Kerala",960,3,4200000,3360
Kannur,2,"Kannur, Kerala",,13,6000000,6000
Kannur,3,"Kannur, Kerala",,,9000000,2296
Kannur,3,"Kannur, Kerala",,15,7800000,5632
Kannur,2,"Kannur, Kerala",,2,7000000,7778
Kannur,4,"Kannur, Kerala",2300,2,7500000,3261
Kannur,2,"Kannur, Kerala",,,12000000,7500
Kannur,4,"Kannur, Kerala",,,5000000,2222
Kannur,3,"Kannur, Kerala",,,6800000,3799
Kannur,5,"Kannur, Kerala",,,20000000,5333
Kannur,2,"Kannur, Kerala",1457,1,4500000,3089
Kannur,,"Kannur, Kerala",,,12500000,6410
Kannur,3,"Kannur, Kerala",2300,,7500000,3000
Kannur,3,"Kannur, Kerala",1500,2,4850000,2939
Kannur,2,"Kannur, Kerala",980,3,6000000,6000
Kannur,3,"Kannur, Kerala",1559,15,7000000,4490
Kannur,3,"Kannur, Kerala",,,11000000,7333
Kannur,3,"Kannur, Kerala",1500,8,8500000,4885
Kannur,2,"Kannur, Kerala",7,,5000000,3846
Kannur,4,"Kannur, Kerala",900,,2500000,2083
Kannur,3,"Kannur, Kerala",778,3,3700000,3936
Kannur,2,"Kannur, Kerala",1350,7,6900000,
Kannur,3,"Kannur, Kerala",1400,14,8000000,
Kannur,2,"Kannur, Kerala",,14,4500000,3659
Kannur,,"Kannur, Kerala",,,5000000,3333
Kannur,2,"Kannur, Kerala",1300,,15000000,11111
Kannur,2,"Kannur, Kerala",1000,1,5500000,4400
Kannur,2,"Kannur, Kerala",17,,2500000,
Kannur,2,"Kannur, Kerala",1140,9,5500000,4825
Kannur,4,"Kannur, Kerala",1512,18,7500000,4960
Kannur,3,"Kannur, Kerala",,1,7500000,2870
Kannur,3,"Kannur, Kerala",,2,5500000,3235
Kannur,4,"Kannur, Kerala",1850,2,9000000,3600
Kannur,3,"Kannur, Kerala",2000,,6000000,
Kannur,3,"Kannur, Kerala",150,,6200000,23846
Kannur,4,"Kannur, Kerala",1160,,6500000,3611
Kannur,2,"Kannur, Kerala",1000,12,6500000,5485
Kannur,2,"Kannur, Kerala",1400,1,6000000,
Kannur,2,"Kannur, Kerala",,,6000000,1968
Kannur,3,"Kannur, Kerala",,11,6700000,4169
Kannur,2,"Kannur, Kerala",500,1,2000000,1667
Kannur,4,"Kannur, Kerala",2300,,11000000,4564
Kannur,2,"Kannur, Kerala",1100,2,3400000,3238
Kannur,4,"Kannur, Kerala",1900,2,5800000,
Kannur,2,"Kannur, Kerala",1140,3,4900000,4261
Kannur,3,"Kannur, Kerala",666,,5500000,2060
Kannur,3,"Kannur, Kerala",1350,,7000000,5185
Kannur,4,"Kannur, Kerala",,,7000000,2296
Kannur,4,"Kannur, Kerala",2000,2,5200000,2600
Kannur,2,"Kannur, Kerala",,4,5000000,3333
Kannur,4,"Kannur, Kerala",1650,,4100000,2278
Kannur,2,"Kannur, Kerala",1171,2,3800000,3722
Kannur,3,"Kannur, Kerala",8,1,7000000,1785
Kannur,2,"Kannur, Kerala",,,5500000,4231
Kannur,3,"Kannur, Kerala",,2,,
Kannur,3,"Kannur, Kerala",,3,,
Kannur,,"Kannur, Kerala",,,,
Kannur,2,"Kannur, Kerala",,3,5800000,4689
Kannur,2,"Kannur, Kerala",1000,17,8085000,7000
Kannur,3,"Kannur, Kerala",9,,9000000,2296
Kannur,3,"Kannur, Kerala",,15,8500000,6071
Kannur,3,"Kannur, Kerala",1200,1,5000000,1923
Kannur,3,"Kannur, Kerala",1499,16,9717300,6100
Kannur,2,"Kannur, Kerala",923,14,7400000,7234
Kannur,3,"Kannur, Kerala",1700,16,14500000,8056
