city_name,bathrooms,address,carpet_area,floors,price,price_per_sq_ft
Sangli,3,"Sangli, Maharashtra",1351,8,8755200,4800
Sangli,2,"Sangli, Maharashtra",1000,,3500000,3214
Sangli,2,"Sangli, Maharashtra",,5,3500000,3521
Sangli,3,"Sangli, Maharashtra",1500,,12500000,8333
Sangli,3,"Sangli, Maharashtra",,,6700000,4863
Sangli,2,"Sangli, Maharashtra",1000,,4700000,4273
Sangli,2,"Sangli, Maharashtra",980,2,4500000,4500
Sangli,1,"Sangli, Maharashtra",,4,3650000,5126
Sangli,2,"Sangli, Maharashtra",,,5000000,
Sangli,2,"Sangli, Maharashtra",,9,4800000,4688
Sangli,2,"Sangli, Maharashtra",,2,2500000,3125
Sangli,1,"Sangli, Maharashtra",1000,,7500000,5000
Sangli,2,"Sangli, Maharashtra",800,6,4800000,4688
Sangli,2,"Sangli, Maharashtra",,,30000000,8451
Sangli,1,"Sangli, Maharashtra",,3,2500005,2874
Sangli,1,"Sangli, Maharashtra",,4,3400000,3872
Sangli,2,"Sangli, Maharashtra",,4,3100000,3605
Sangli,2,"Sangli, Maharashtra",,3,3500000,3911
Sangli,2,"Sangli, Maharashtra",685,5,3027500,3500
Sangli,2,"Sangli, Maharashtra",850,6,2800000,
Sangli,2,"Sangli, Maharashtra",1300,5,4300000,3499
Sangli,3,"Sangli, Maharashtra",,2,6500000,3095
Sangli,2,"Sangli, Maharashtra",,2,8500000,3801
Sangli,2,"Sangli, Maharashtra",,,12500000,4167
Sangli,2,"Sangli, Maharashtra",,5,4500000,4500
Sangli,2,"Sangli, Maharashtra",1040,3,3500000,1750
Sangli,2,"Sangli, Maharashtra",,3,6600000,6000
Sangli,3,"Sangli, Maharashtra",,2,4950000,3960
Sangli,2,"Sangli, Maharashtra",,4,2900000,3452
Sangli,1,"Sangli, Maharashtra",1200,1,2500000,2083
Sangli,3,"Sangli, Maharashtra",,4,11100000,5917
Sangli,2,"Sangli, Maharashtra",1200,,5000000,3448
Sangli,5,"Sangli, Maharashtra",,,28000000,9333
Sangli,1,"Sangli, Maharashtra",48,3,3500000,4335
Sangli,2,"Sangli, Maharashtra",790,4,3900000,4021
Sangli,3,"Sangli, Maharashtra",2300,,11000000,9167
Sangli,2,"Sangli, Maharashtra",,7,2800000,2585
Sangli,2,"Sangli, Maharashtra",900,,4000000,4000
Sangli,2,"Sangli, Maharashtra",,,3500000,2917
Sangli,2,"Sangli, Maharashtra",770,2,2100000,2211
Sangli,1,"Sangli, Maharashtra",750,,400000,471
Sangli,1,"Sangli, Maharashtra",,,8500000,4965
Sangli,2,"Sangli, Maharashtra",850,,2700000,3034
Sangli,1,"Sangli, Maharashtra",,5,4500000,4167
