City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,tutor_fee,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,education_index,cost_of_living_index
Mumbai,96.75,44.07407407,1350.0,49.5,23619.0,150.0,600.0,8.5,613.8539545810494,230.85719870980355,117.85714285714286,220.37037035,135.0,212.5,120.0,153.84615384615387,113.87122047959086,167.85
Bengaluru,96.94,43.25581395,750.0,36.0,11029.0,125.0,335.0,7.0,487.05391432791725,107.79982406411885,85.71428571428571,216.27906974999996,75.0,175.0,100.0,85.8974358974359,90.34954202051857,109.64
Kozhikode,100.26,33.04347826,500.0,56.0,5982.0,115.0,180.0,6.5,301.5758354755784,58.46935783403382,133.33333333333331,165.2173913,50.0,162.5,92.0,46.15384615384615,55.94296199687064,101.16
Hyderabad,101.57,48.46153846,600.0,35.0,7260.0,150.0,295.0,6.5,515.2044589450788,70.96080539536702,83.33333333333334,242.30769229999999,60.0,162.5,120.0,75.64102564102564,95.57152820925157,100.18
Delhi,91.25999999999999,20.0,1000.0,42.0,10231.0,125.0,390.0,4.0,539.0773471959673,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Pune,97.07,32.72727273,700.0,47.0,4550.0,150.0,360.0,7.5,546.1374933897408,44.47268106734435,111.90476190476191,163.63636365,70.0,187.5,120.0,92.3076923076923,101.30967220761495,96.06
Jaipur,97.46,25.41666667,500.0,55.0,3579.0,100.0,300.0,7.0,527.225888324873,34.981917701104486,130.95238095238096,127.08333335000002,50.0,175.0,80.0,76.92307692307693,97.80152905093489,91.99
Ahmedabad,92.315,28.68421053,1000.0,45.0,5059.0,125.0,280.0,5.2,493.31262135922333,49.44775681751539,107.14285714285714,143.42105265,100.0,130.0,100.0,71.7948717948718,91.51054555069119,91.83
Chennai,96.58500000000001,28.41269841,700.0,50.0,4550.0,125.0,152.5,4.5,377.67036416910844,44.47268106734435,119.04761904761905,142.06349205,70.0,112.5,100.0,39.1025641025641,70.05865969578878,90.06
Patna,98.655,49.62962963,400.0,34.5,5500.0,125.0,285.0,4.0,352.8636363636364,53.75818590558108,82.14285714285714,248.14814815,40.0,100.0,100.0,73.07692307692307,65.45695867189949,89.15
Kolkata,98.4,36.48648649,1000.0,39.0,4550.0,100.0,310.0,5.5,498.17693588676104,44.47268106734435,92.85714285714286,182.43243245,100.0,137.5,80.0,79.48717948717949,92.41288629137333,88.85
Bhopal,99.195,12.0,500.0,57.0,4550.0,125.0,260.0,6.5,446.78387096774196,44.47268106734435,135.71428571428572,60.0,50.0,162.5,100.0,66.66666666666666,82.879362913635,88.75
Mysuru,96.505,12.17391304,500.0,47.0,6839.0,150.0,220.0,7.0,366.4507772020725,66.84586061968527,111.90476190476191,60.8695652,50.0,175.0,120.0,56.41025641025641,67.97740233533854,87.2
Jabalpur,99.23,18.92857143,300.0,54.0,3900.0,125.0,200.0,6.5,430.52702702702703,38.11944091486658,128.57142857142858,94.64285715,30.0,162.5,100.0,51.28205128205128,79.86368361913756,86.22
Chandigarh,88.36,17.03125,500.0,47.5,5398.0,100.0,230.0,4.5,523.8908819133035,52.76121591242303,113.09523809523809,85.15625,50.0,112.5,80.0,58.97435897435898,97.18287823414269,84.01
Coimbatore,97.08,25.71428571,200.0,49.0,4550.0,100.0,202.0,4.5,347.4377330350485,44.47268106734435,116.66666666666667,128.57142854999998,20.0,112.5,80.0,51.7948717948718,64.45044200841679,83.47
Lucknow,91.245,14.53488372,600.0,47.0,5058.0,100.0,230.0,6.5,483.7675606641124,49.437982601896195,111.90476190476191,72.6744186,60.0,162.5,80.0,58.97435897435898,89.7399163924155,82.91
Rajkot,92.095,18.33333333,300.0,45.0,5400.0,100.0,290.0,5.2,566.875,52.780764343661424,107.14285714285714,91.66666665,30.0,130.0,80.0,74.35897435897436,105.15652400321092,82.61
Raipur,96.39500000000001,30.76470588,350.0,42.0,3503.0,125.0,185.0,5.5,458.1449275362319,34.239077314045545,100.0,153.8235294,35.0,137.5,100.0,47.43589743589743,84.9868631874983,80.91
Kollam,101.355,26.75,300.0,42.0,4550.0,129.0,170.0,6.5,320.02298850574715,44.47268106734435,100.0,133.75,30.0,162.5,103.2,43.58974358974359,59.36494830850522,80.78
Bhubaneswar,96.89,13.6,625.0,42.0,5880.5,110.0,260.0,6.0,440.4464609800363,57.47727494868536,100.0,68.0,62.5,150.0,88.0,66.66666666666666,81.70375981684937,80.35
Agra,91.03,28.57142857,300.0,40.0,3951.5,125.0,250.0,6.5,432.241610738255,38.622813019255204,95.23809523809523,142.85714285,30.0,162.5,100.0,64.1025641025641,80.181742561912,79.8
Kolhapur,97.81,18.90873016,750.0,39.0,4775.5,100.0,100.0,7.5,500.0816326530612,46.67676668947317,92.85714285714286,94.5436508,75.0,187.5,80.0,25.64102564102564,92.76621161216589,78.75
Nashik,97.995,20.77777778,200.0,41.0,4596.5,102.5,260.0,7.5,478.7062937062937,44.927182093636986,97.61904761904762,103.88888890000001,20.0,187.5,82.0,66.66666666666666,88.80104055499716,78.14
