City,avg_fuel_price,uber_price_per_km,doctor_fee,grocery_price,housing_price,restaurant_price,movie_ticket_price,electricity_rate,tutor_fee,housing_index,grocery_index,transport_index,healthcare_index,electricity_index,restaurant_index,movie_index,education_index,cost_of_living_index,cluster
Mumbai,96.75,44.07407407,1350.0,103.92893086393826,23619.0,150.0,600.0,8.5,613.8539545810494,230.85719870980355,103.92893086393826,220.37037035,135.0,212.5,120.0,153.84615384615387,113.87122047959086,162.79,3
Bengaluru,96.94,43.25581395,750.0,99.77985344615688,11029.0,125.0,335.0,7.0,487.05391432791725,107.79982406411884,99.77985344615688,216.27906975,75.0,175.0,100.0,85.8974358974359,90.34954202051856,114.76,1
Kozhikode,100.26,33.04347826,500.0,151.21116251723913,5982.0,115.0,180.0,6.5,301.5758354755784,58.46935783403382,151.21116251723913,165.2173913,50.0,162.5,92.0,46.15384615384615,55.94296199687064,107.66,0
Hyderabad,101.57,48.46153846,600.0,102.32303992310796,7260.0,150.0,295.0,6.5,515.2044589450788,70.96080539536702,102.32303992310796,242.3076923,60.0,162.5,120.0,75.64102564102564,95.57152820925155,107.09,1
Patna,98.655,49.62962963,400.0,113.97503370622384,5500.0,125.0,285.0,4.0,352.8636363636364,53.75818590558108,113.97503370622384,248.14814815,40.0,100.0,100.0,73.07692307692307,65.45695867189949,100.72,0
Delhi,91.26,20.0,1000.0,100.0,10231.0,125.0,390.0,4.0,539.0773471959673,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1
Pune,97.07,32.72727273,700.0,97.45088066648675,7522.0,150.0,360.0,7.5,546.1374933897408,73.52164988759652,97.45088066648675,163.63636365,70.0,187.5,120.0,92.3076923076923,101.30967220761497,99.61,1
Kolkata,98.4,36.48648649,1000.0,115.9107914254118,5000.0,100.0,310.0,5.5,498.176935886761,48.8710780959828,115.9107914254118,182.43243245,100.0,137.5,80.0,79.48717948717949,92.41288629137333,98.57,1
Ahmedabad,92.315,28.68421053,1000.0,117.02777764112746,5059.0,125.0,280.0,5.2,493.3126213592233,49.44775681751539,117.02777764112746,143.42105265,100.0,130.0,100.0,71.7948717948718,91.5105455506912,95.42,1
Coimbatore,97.08,25.71428571,200.0,140.2109194261281,4890.5,100.0,202.0,4.5,347.4377330350485,47.80080148568077,140.2109194261281,128.57142854999998,20.0,112.5,80.0,51.7948717948718,64.45044200841679,93.04,0
Chennai,96.585,28.41269841,700.0,111.2083283431262,6250.0,125.0,152.5,4.5,377.6703641691085,61.088847619978495,111.2083283431262,142.06349205,70.0,112.5,100.0,39.1025641025641,70.05865969578878,92.25,0
Raipur,96.395,30.76470588,350.0,124.87049665960105,3503.0,125.0,185.0,5.5,458.1449275362319,34.239077314045545,124.87049665960105,153.8235294,35.0,137.5,100.0,47.43589743589743,84.9868631874983,89.95,0
Bhubaneswar,96.89,13.6,625.0,124.27693118039784,5880.5,110.0,260.0,6.0,440.4464609800363,57.47727494868536,124.27693118039784,68.0,62.5,150.0,88.0,66.66666666666666,81.70375981684937,89.18,2
